อ	A
มาณว	Māṇava
มาณวก	Māṇavaka
มาตงฺค	Mātaṅga
มาตรฺ	Mātar
มาติก	Mātika
มาติกา	Mātikā
มาติย	Mātiya
มาตุ	Mātu°
มาตุก	Mātuka
มาตุจฺฉา	Mātucchā
มาตุล	Mātula
มาตุลก	Mātulaka
มาตุลานี	Mātulānī
มาตุลุงฺค	Mātuluṅga
มาทิส	Mādisa
มาน	Māna
มานตฺต	Mānatta
มานน	Mānana
มานว	Mānava
มานวนฺตฺ	Mānavant
มานส	Mānasa
มานสาน	Mānasāna
มานสฺสินฺ	Mānassin
มานิกต	Mānikata
มานิกา	Mānikā
มานิต	Mānita
มานินฺ	Mānin
มานุส	Mānusa
มานุสก	Mānusaka
มาเนติ	Māneti
มาปก	Māpaka
มาเปติ	Māpeti
มามก	Māmaka
มายา	Māyā
มายาวินฺ	Māyāvin
มายุ	Māyu
มาร	Māra
มารก	Māraka
มารณ	Māraṇa
มารตฺต	Māratta
มาราปิต	Mārāpita
มาราปิตตฺต	Mārāpitatta
มาราเปติ	Mārāpeti
มาริต	Mārita
มาริส	Mārisa
มารุต	Māruta
มาเรตรฺ	Māretar
มาเรติ	Māreti
มาล	Māla
มาลก	Mālaka
มาลตี	Mālatī
มาลา	Mālā
มาลิก	Mālika
มาลิกา	Mālikā
มาลินฺ	Mālin
มาลุก	Māluka
มาลุต	Māluta
มาลุวา	Māluvā
มาลูร	Mālūra
มาลฺย	Mālya
มาฬ	Māḷa
มาฬก	Māḷaka
มาส	Māsa
มาสก	Māsaka
มาสกฺขิมฺหา	Māsakkhimhā
มาสติ	Māsati
มาสลุ	Māsalu
มาสาจิต	Māsācita
มาสิก	Māsika
มาสิย	Māsiya
มิค	Miga
มิควา	Migavā
มิคี	Migī
มิจฺฉตฺต	Micchatta
มิจฺฉา	Micchā
มิญฺช	Miñja
มิญฺชก	Miñjaka
มิต	Mita
มิตฺต	Mitta
มิตฺตตา	Mittatā
มิตฺติ	Mitti
มิถุ	Mithu
มิทฺธ	Middha
มิทฺธินฺ	Middhin
มิธ	Midha
มินน	Minana
มินาติ	Mināti
มิยฺยติ	Miyyati
มิลกฺข	Milakkha
มิลกฺขุ	Milakkhu
มิลาจ	Milāca
มิลาต	Milāta
มิลาตตา	Milātatā
มิลายติ	Milāyati
มิลฺลิกา	Millikā
มิฬฺหกา	Miḷhakā
มิสติ	Misati
มิสฺส	Missa
มิสฺสก	Missaka
มิสฺสกตฺต	Missakatta
มิสฺสน	Missana
มิสฺสิต	Missita
มิสฺเสติ	Misseti
มิหติ	Mihati
มิหิต	Mihita
มียติ	Mīyati
มีลติ	Mīlati
มีฬฺห	Mīḷha
มีฬฺหกา	Mīḷhakā
มุกุล	Mukula
มุกฺก	Mukka
มุกฺขก	Mukkhaka
มุข	Mukha
มุขร	Mukhara
มุขรตา	Mukharatā
มุคฺค	Mugga
มุคฺคติย	Muggatiya
มุคฺคร	Muggara
มุจล	Mucala
มุจฺฉติ	Mucchati
มุจฺฉนา	Mucchanā
มุจฺฉญฺจิกตา	Mucchañcikatā
มุจฺฉา	Mucchā
มุจฺฉิต	Mucchita
มุชฺชติ	Mujjati
มุญฺจติ	Muñcati
มุญฺจน	Muñcana
มุญฺจนก	Muñcanaka
มุญฺช	Muñja
มุฏ	Muṭa
มุฏฺฐ	Muṭṭha
มุฏฺฐิ	Muṭṭhi
มุฏฺฐิก	Muṭṭhika
มุณฺฑ	Muṇḍa
มุณฺฑก	Muṇḍaka
มุณฺฑตฺต	Muṇḍatta
มุณฺฑน	Muṇḍana
มุณฺฑิก	Muṇḍika
มุณฺฑิต	Muṇḍita
มุณฺฑิย	Muṇḍiya
มุณฺเฑติ	Muṇḍeti
มุต	Muta
มุติ	Muti
มุติงฺค	Mutiṅga
มุติมนฺตฺ	Mutimant
มุโตฬี	Mutoḷī
มุตฺต	Mutta
มุตฺตก	Muttaka
มุตฺตกา	Muttakā
มุตฺตตา	Muttatā
มุตฺตา	Muttā
มุตฺติ	Mutti
มุตฺติก	Muttika
มุทติ	Mudati
มุทยนฺตี	Mudayantī
มุทา	Mudā
มุทิงฺค	Mudiṅga
มุทิต	Mudita
มุทิตา	Muditā
มุทุ	Mudu
มุทุก	Muduka
มุทุตา	Mudutā
มุทฺทา	Muddā
มุทฺทิก	Muddika
มุทฺทิกา	Muddikā
มุทฺธ	Muddha
มุทฺธตา	Muddhatā
มุธา	Mudhā
มุนน	Munana
มุนาติ	Munāti
มุนิ	Muni
มุมฺมุร	Mummura
มุยฺหติ	Muyhati
มุยฺหน	Muyhana
มุรช	Muraja
มุรุมุรา	Murumurā
มุรุมุราเปติ	Murumurāpeti
มุรุมุรายติ	Murumurāyati
มุฬาล	Muḷāla
มุสติ	Musati
มุสล	Musala
มุสลก	Musalaka
มุสลิก	Musalika
มุสา	Musā
มุสฺสติ	Mussati
มุหุตฺต	Muhutta
มุหุตฺติก	Muhuttika
มู	Mū
มูค	Mūga
มูล	Mūla
มูลก	Mūlaka
มูลิก	Mūlika
มูฬฺห	Mūḷha
มูสิก	Mūsika
มูสี	Mūsī
เม	Me
เมขลา	Mekhalā
เมขลิกา	Mekhalikā
เมฆ	Megha
เมจก	Mecaka
เมชฺชติ	Mejjati
เมชฺฌ	Mejjha
เมณฺฑ	Meṇḍa
เมณฺฑก	Meṇḍaka
เมตฺต	Metta
เมตฺตา	Mettā
เมตฺตายติ	Mettāyati
เมตฺตายนา	Mettāyanā
เมตฺติ	Metti
เมตฺเตยฺยตฺตา	Metteyyattā
เมถุน	Methuna
เมถุนก	Methunaka
เมท	Meda
เมทก	Medaka
เมทินี	Medinī
เมเทติ	Medeti
เมธ	Medha
เมธค	Medhaga
เมธส	Medhasa
เมธา	Medhā
เมธาวิตา	Medhāvitā
เมธาวินฺ	Medhāvin
เมธิ	Medhi
เมธินฺ	Medhin
เมรย	Meraya
เมริต	Merita
เมลฺล	Mella
โมกฺข	Mokkha
โมกฺขก	Mokkhaka
โมกฺขจิก	Mokkhacika
โมกฺขติ	Mokkhati
โมฆ	Mogha
โมจ	Moca
โมจน	Mocana
โมจย	Mocaya
โมจาปน	Mocāpana
โมเจตรฺ	Mocetar
โมเจติ	Moceti
โมฏ	Moṭa
โมตรฺ	Motar
โมทก	Modaka
โมทติ	Modati
โมทน	Modana
โมทนา	Modanā
โมทร	Modara:
โมน	Mona
โมเนยฺย	Moneyya
โมมูห	Momūha
โมมูหตฺต	Momūhatta
โมร	Mora
โมรคุ	Moragu
โมรินี	Morinī
โมลิ	Moli
โมส	Mosa
โมสลฺล	Mosalla
โมห	Moha
โมหตฺต	Mohatta
โมหน	Mohana
โมหนก	Mohanaka
โมหเนยฺย	Mohaneyya
โมเหติ	Moheti
มฺยายมฺ	Myāyam
ยฺ	Y
ย	Ya°
ยกน	Yakana
ยก-เปฬ	Yaka-peḷa
ย-การ	Ya-kāra
ยกเปฬ	Yaka-peḷa
ยการ	Ya-kāra
ยกฺข	Yakkha
ยกฺขตฺต	Yakkhatta
ยกฺขินี	Yakkhinī
ยกฺขี	Yakkhī
ยคฺเฆ	Yagghe
ยชติ	Yajati
ยชน	Yajana
ยชนก	Yajanaka
ยชาเปติ	Yajāpeti
ยชิต	Yajita
ยชุพฺเพท	Yajubbeda
ยญฺญ	Yañña
ยญฺญตา	Yaññatā
ยฏฺฐิ	Yaṭṭhi
ยต	Yata
ยตติ	Yatati
ยตน	Yatana
ยติ	Yati
ยโต	Yato
ยตฺต	Yatta
ยตฺตก	Yattaka
ยตฺถ	Yattha
ยตฺร	Yatra
ยถา	Yathā
ยถาตํ	Yathātaṃ
ยถาว	Yathāva
ยถาวก	Yathāvaka
ยทฺ	Yad
ยทา	Yadā
ยทิ	Yadi
ยนฺต	Yanta
ยนฺตก	Yantaka
ยนฺติ	Yanti
ยนฺติต	Yantita
ยนฺเตติ	Yanteti
ยนฺนูน	Yannūna
ยปน	Yapana
ยเปติ	Yapeti
ยภติ	Yabhati
ยม	Yama
ยมก	Yamaka
ยมตํ	Yamataṃ
ยมติ	Yamati
ยมล	Yamala
ยว	Yava
ยวก	Yavaka
ยวส	Yavasa
ยสวนฺตฺ	Yasavant
ยสสฺสินฺ	Yasassin
ยสสฺสิมนฺตฺ	Yasassimant
ยโส	Yaso
ยหึ	Yahiṃ
ยาค	Yāga
ยาคินฺ	Yāgin
ยาคุ	Yāgu
ยาจ	Yāca
ยาจก	Yācaka
ยาจติ	Yācati
ยาจน	Yācana
ยาจนก	Yācanaka
ยาจนา	Yācanā
ยาจิต	Yācita
ยาจิตก	Yācitaka
ยาช	Yāja
ยาชก	Yājaka
ยาชน	Yājana
ยาชินฺ	Yājin
ยาเชตรฺ	Yājetar
ยาเชติ	Yājeti
ยาต	Yāta
ยาติ	Yāti
ยาตฺรา	Yātrā
ยาถาว	Yāthāva
ยาทิจฺฉกํ	Yādicchakaṃ
ยาทิส	Yādisa
ยาทิสก	Yādisaka
ยาน	Yāna
ยานก	Yānaka
ยานิก	Yānika
ยานิกต	Yānikata
ยานินฺ	Yānin
ยาปน	Yāpana
ยาปนีย	Yāpanīya
ยาเปติ	Yāpeti
ยาปฺย	Yāpya
ยาม	Yāma
ยายติ	Yāyati
ยายินฺ	Yāyin
ยาว	Yāva
ยาวก	Yāvaka
ยาวตก	Yāvataka
ยาวตา	Yāvatā
ยาวนฺตฺ	Yāvant
ยาเวตโทหิ	Yāvetadohi
ยิฏฺฐ	Yiṭṭha
ยิธ	Yidha
ยุค	Yuga
ยุคล	Yugala
ยุคลก	Yugalaka
ยุช	Yuja
ยุชฺฌ	Yujjha
ยุชฺฌติ	Yujjhati
ยุชฺฌน	Yujjhana
ยุชฺฌาปน	Yujjhāpana
ยุญฺชติ	Yuñjati
ยุต	Yuta
ยุตฺต	Yutta
ยุตฺตก	Yuttaka
ยุตฺติ	Yutti
ยุทฺธ	Yuddha
ยุทฺธก	Yuddhaka
ยุธิกา	Yudhikā
ยุวนฺ	Yuvan
ยุวินฺ	Yuvin
ยูถ	Yūtha
ยูถิกา	Yūthikā
ยูป	Yūpa
ยูส	Yūsa
เยภุยฺย	Yebhuyya
เยภุยฺยสิกา	Yebhuyyasikā
เยว	Yeva
เยวาปนก	Yevāpana(ka)
โยค	Yoga
โยคนีย	Yoganīya
โยคินฺ	Yogin
โยคฺค	Yogga
โยคฺคา	Yoggā
โยชน	Yojana
โยชนา	Yojanā
โยชนิก	Yojanika
โยชิต	Yojita
โยชิตก	Yojitaka
โยเชติ	Yojeti
โยชฺฌ	Yojjha
โยตฺต	Yotta
โยตฺตก	Yottaka
โยธ	Yodha
โยธิ	Yodhi
โยธิกา	Yodhikā
โยธินฺ	Yodhin
โยเธติ	Yodheti
โยนิ	Yoni
โยพฺพน	Yobbana
รฺ	R
รํสิ	Raṃsi
รํสิก	Raṃsika
รํสิมนฺตฺ	Raṃsimant
รกฺข	Rakkha
รกฺขก	Rakkhaka
รกฺขติ	Rakkhati
รกฺขน	Rakkhana
รกฺขนก	Rakkhanaka
รกฺขส	Rakkhasa
รกฺขา	Rakkhā
รกฺขิต	Rakkhita
รงฺค	Raṅga
รจติ	Racati
รจนา	Racanā
รจิต	Racita
รจฺฉา	Racchā
รชก	Rajaka
รชกฺข	Rajakkha
รชกฺขตา	Rajakkhatā
รชต	Rajata
รชติ	Rajati
รชน	Rajana
รชนิ	Rajani
รชนีย	Rajanīya
รโช	Rajo
รชฺช	Rajja
รชฺชติ	Rajjati
รชฺชน	Rajjana
รชฺชุ	Rajju
รชฺชุก	Rajjuka
รญฺชติ	Rañjati
รญฺชน	Rañjana
รญฺชิต	Rañjita
รฏติ	Raṭati
รฏฺฐ	Raṭṭha
รฏฺฐก	Raṭṭhaka
รฏฺฐวนฺตฺ	Raṭṭhavant
รฏฺฐิก	Raṭṭhika
รณ	Raṇa
รต	Rata
รตน	Ratana
รตนก	Ratanaka
รตนิ	Ratani
รตนิก	Ratanika
รติ	Rati
รตินฺ	Ratin
รตฺต	Ratta
รตฺติ	Ratti
รถ	Ratha
รถก	Rathaka
รถิก	Rathika
รถิกา	Rathikā
รท	Rada
รทติ	Radati
รนฺธ	Randha
รนฺธก	Randhaka
รนฺธติ	Randhati
รปติ	Rapati
รภส	Rabhasa
รม	Rama
รมณ	Ramaṇa
รมณก	Ramaṇaka
รมณีย	Ramaṇīya
รมติ	Ramati
รมิต	Ramita
รมฺพติ	Rambati
รมฺภา	Rambhā
รมฺม	Ramma
รมฺมก	Rammaka
รย	Raya
รว	Rava
รวก	Ravaka
รวณ	Ravaṇa
รวติ	Ravati
รวิ	Ravi
รวิต	Ravita
รส	Rasa
รสก	Rasaka
รสติ	Rasati
รสตฺต	Rasatta
รสวตี	Rasavatī
รสาวินฺ	Rasāvin
รสียติ	Rasīyati
รสฺมิ	Rasmi
รสฺส	Rassa
รสฺสตฺต	Rassatta
รหติ	Rahati
รหท	Rahada
รหสฺ	Rahas
รหสฺส	Rahassa
รหสฺสก	Rahassaka
รหายติ	Rahāyati
รหิต	Rahita
ราค	Rāga
ราคินฺ	Rāgin
ราชก	Rājaka
ราชญฺญ	Rājañña
ราชตา	Rājatā
ราชติ	Rājati
ราชา	Rājā
ราชิ	Rāji
ราชิกา	Rājikā
ราชิต	Rājita:
ราชินฺ	Rājin
ราชิมนฺตฺ	Rājimant
ราชุล	Rājula
ราติ	Rāti
ราเธติ	Rādheti
ราม	Rāma
ราโม	Rāmo
รามเณยฺยก	Rāmaṇeyyaka
ราว	Rāva
ราสิ	Rāsi
ราสิก	Rāsika
ราหเสยฺยก	Rāhaseyyaka
ราหุ	Rāhu
ริญฺจติ	Riñcati
ริญฺจน	Riñcana
ริณาติ	Riṇāti
ริตฺต	Ritta
ริตฺตก	Rittaka
รินฺที	Rindī
ริสฺสติ	Rissati
รุก	Ruka
รุกฺข	Rukkha
รุจ	Ruca
รุจก	Rucaka
รุจิ	Ruci
รุจิก	Rucika
รุจิร	Rucira
รุจฺจติ	Ruccati
รุจฺจน	Ruccana
รุจฺจนก	Ruccanaka
รุชก	Rujaka
รุชติ	Rujati
รุชน	Rujana
รุชนก	Rujanaka
รุชา	Rujā
รุชฺฌติ	Rujjhati
รุฏฺฐ	Ruṭṭha
รุฐติ	Ruṭhati
รุณฺ	Ruṇ
รุณฺณ	Ruṇṇa
รุต	Ruta
รุตฺต	Rutta
รุท	Ruda
รุทติ	Rudati
รุทิต	Rudita
รุทฺท	Rudda
รุทฺธ	Ruddha
รุธิร	Rudhira
รุนฺธติ	Rundhati
รุปฺป	Ruppa
รุปฺปติ	Ruppati
รุปฺปน	Ruppana
รุมฺภติ	Rumbhati
รุมฺม	Rumma
รุมฺมินฺ	Rummin
รุมฺหนิย	Rumhaniya
รุยฺหติ	Ruyhati
รุริร	Rurira
รุรุ	Ruru
รุสิต	Rusita
รุสฺสติ	Russati
รุห	Ruha
รุหิร	Ruhira
รูต	Rūta
รูป	Rūpa
รูปก	Rūpaka
รูปตา	Rūpatā
รูปตฺต	Rūpatta
รูปวนฺตฺ	Rūpavant
รูปิก	Rūpika
รูปินฺ	Rūpin
รูปิย	Rūpiya
รูเปติ	Rūpeti
รูฬ	Rūḷa
รูฬฺห	Rūḷha
รูฬฺหิ	Rūḷhi
รูหติ	Rūhati
รูหนา	Rūhanā
รูหิต	Rūhita
เร	Re
เรขา	Rekhā
เรจน	Recana
เรณุ	Reṇu
เรรุก	Reruka
โรค	Roga
โรคินฺ	Rogin
โรจติ	Rocati
โรณฺณ	Roṇṇa
โรทติ	Rodati
โรทน	Rodana
โรธ	Rodha
โรธน	Rodhana
โรป	Ropa
โรปก	Ropaka
โรปน	Ropana
โรปย	Ropaya
โรปาเปติ	Ropāpeti
โรปิต	Ropita
โรปิม	Ropima
โรเปติ	Ropeti
โรม	Roma
โรมก	Romaka
โรมญฺจ	Romañca
โรมนฺถก	Romanthaka
โรมนฺถติ	Romanthati
โรมนฺถน	Romanthana
โรรว	Rorava
โรส	Rosa
โรสก	Rosaka
โรสนา	Rosanā
โรสเนยฺย	Rosaneyya
โรสิต	Rosita
โรเสติ	Roseti
โรหญฺญ	Rohañña
โรหติ	Rohati:
โรหิจฺจ	Rohicca
โรหิณี	Rohiṇī
โรหิต	Rohita
ล	La
ลกฺ-อฏฺฐิก	Lak-aṭṭhika
ลกฏฺฐิก	Lak-aṭṭhika
ลกนก	Lakanaka
ลการ	Lakāra
ลกุฏ	Lakuṭa
ลกุณฺฏก	Lakuṇṭaka
ลกุณฺฏกตฺต	Lakuṇṭakatta
ลเกติ	Laketi
ลกฺข	Lakkha
ลกฺขญฺญ	Lakkhañña
ลกฺขณ	Lakkhaṇa
ลกฺขิก	Lakkhika
ลกฺขิต	Lakkhita
ลกฺขี	Lakkhī
ลกฺเขติ	Lakkheti
ลคติ	Lagati
ลคน	Lagana
ลคุฬ	Laguḷa
ลคฺค	Lagga
ลคฺคาปน	Laggāpana
ลคฺคิต	Laggita
ลฆิม	Laghima
ลงฺการ	Laṅkāra
ลงฺคี	Laṅgī
ลงฺคุล	Laṅgula
ลงฺฆก	Laṅghaka
ลงฺฆติ	Laṅghati
ลงฺฆน	Laṅghana
ลงฺฆมยา	Laṅghamayā
ลงฺฆาปน	Laṅghāpana
ลงฺฆิ	Laṅghi
ลชฺชติ	Lajjati
ลชฺชน	Lajjana
ลชฺชนก	Lajjanaka
ลชฺชว	Lajjava
ลชฺชา	Lajjā
ลชฺชาปนิกา	Lajjāpanikā
ลชฺชิต	Lajjita
ลชฺชิตพฺพก	Lajjitabbaka
ลชฺชินฺ	Lajjin
ลจฺฉติ	Lacchati
ลญฺจ	Lañca
ลญฺจก	Lañcaka:
ลญฺจน	Lañcana
ลญฺฉ	Lañcha
ลญฺฉก	Lañchaka
ลญฺฉติ	Lañchati
ลญฺฉน	Lañchana
ลญฺฉิต	Lañchita
ลญฺชก	Lañjaka
ลญฺเชติ	Lañjeti
ลฏุกิกา	Laṭukikā
ลฏฺฐก	Laṭṭhaka
ลฏฺฐิ	Laṭṭhi
ลฏฺฐิกา	Laṭṭhikā
ลณฺฑ	Laṇḍa
ลณฺฑิกา	Laṇḍikā
ลตา	Latā
ลทฺธ	Laddha
ลทฺธา	Laddhā
ลทฺธิ	Laddhi
ลทฺธิก	Laddhika
ลนฺธติ	Landhati
ลป	Lapa
ลปก	Lapaka
ลปติ	Lapati
ลปน	Lapana
ลปาปน	Lapāpana
ลปิต	Lapita
ลปิล	Lapila
ลพุช	Labuja
ลพฺภมานตฺต	Labbhamānatta
ลพฺภา	Labbhā
ลภ	Labha
ลภติ	Labhati
ลภน	Labhana
ลมฺพ	Lamba
ลมฺพติ	Lambati
ลมฺพิต	Lambita
ลมฺพินฺ	Lambin
ลมฺพิล	Lambila
ลมฺเภติ	Lambheti
ลย	Laya
ลลาฏ	Lalāṭa
ลฬติ	Laḷati
ลว	Lava
ลวก	Lavaka
ลวณ	Lavaṇa
ลวน	Lavana
ลวาเปติ	Lavāpeti
ลสคต	Lasagata
ลสติ	Lasati
ลสิกา	Lasikā
ลสี	Lasī
ลสุณ	Lasuṇa
ลหติ	Lahati
ลหุ	Lahu
ลหุกา	Lahukā
ลหุตา	Lahutā
ลหุส	Lahusa
ลหุโส	Lahuso
ลาขา	Lākhā
ลาช	Lāja
ลาเชติ	Lājeti
ลาป	Lāpa
ลาปน	Lāpana
ลาปินฺ	Lāpin
ลาปุ	Lāpu
ลาเปติ	Lāpeti:
ลาพุ	Lābu
ลาภ	Lābha
ลาภก	Lābhaka
ลาภา	Lābhā
ลาภินฺ	Lābhin
ลามก	Lāmaka
ลามชฺชก	Lāmajjaka
ลายก	Lāyaka
ลายติ	Lāyati
ลายน	Lāyana
ลายิต	Lāyita
ลาล	Lāla
ลาลก	Lālaka
ลาลปติ	Lālapati
ลาลปฺป	Lālappa
ลาลปฺปน	Lāla(p)pana
ลาลปฺปิต	Lālappita
ลาลา	Lālā
ลาฬน	Lāḷana
ลาเฬติ	Lāḷeti
ลาวก	Lāvaka
ลาวติ	Lāvati
ลาส	Lāsa
ลาสิกา	Lāsikā
ลาเสติ	Lāseti
ลิกฺขา	Likkhā
ลิขติ	Likhati
ลิขน	Likhana
ลิขา	Likhā
ลิขิต	Likhita
ลิขิตก	Likhitaka
ลิงฺค	Liṅga
ลิงฺคาล	Liṅgāla
ลิงฺคิก	Liṅgika
ลิงฺเคติ	Liṅgeti
ลิปิ	Lipi
ลิมฺปติ	Limpati
ลิมฺปน	Limpana
ลิสติ	Lisati
ลิหติ	Lihati
ลีน	Līna
ลีนตา	Līnatā
ลีนตฺต	Līnatta
ลียติ	Līyati
ลียน	Līyana
ลียนา	Līyanā
ลียิตตฺต	Līyitatta
ลีลา	Līlā
ลีฬฺหา	Līḷhā
ลุคฺค	Lugga
ลุชฺชติ	Lujjati
ลุชฺชน	Lujjana
ลุญฺจติ	Luñcati
ลุญฺจิต	Luñcita
ลุฐติ	Luṭhati
ลุต	Luta
ลุตฺต	Lutta
ลุทฺท	Ludda
ลุทฺทก	Luddaka
ลุทฺธ	Luddha
ลุนน	Lunana
ลุนาติ	Lunāti
ลุพฺภติ	Lubbhati
ลุพฺภน	Lubbhana
ลุมฺปติ	Lumpati
ลุฬติ	Luḷati
ลุฬิต	Luḷita
ลูก	Lūka
ลูข	Lūkha
ลูขตา	Lūkhatā
ลูขส	Lūkhasa
ลูตา	Lūtā
ลูน	Lūna
ลูยติ	Lūyati:
เลข	Lekha
เลขก	Lekhaka
เลขณี	Lekhaṇī
เลขน	Lekhana
เลขา	Lekhā
เลขิต	Lekhita
เลเขติ	Lekheti
เลฑฺฑุ	Leḍḍu
เลฑฺฑุก	Leḍḍuka
เลณ	Leṇa
เลป	Lepa
เลปน	Lepana
เลเปติ	Lepeti
เลยฺย	Leyya
เลส	Lesa
เลหติ	Lehati
โลก	Loka
โลกิย	Lokiya
โลจก	Locaka
โลจน	Locana
โลเจติ	Loceti
โลฏน	Loṭana
โลณ	Loṇa
โลณิก	Loṇika
โลทฺท	Lodda
โลป	Lopa
โลภ	Lobha
โลภน	Lobhana
โลภนิย	Lobhaniya
โลม	Loma
โลมก	Lomaka
โลมส	Lomasa
โลมินฺ	Lomin
โลล	Lola
โลลตา	Lolatā
โลลิต	Lolita
โลลุป	Lolupa
โลลุปฺป	Loluppa
โลเลติ	Loleti
โลฬี	Loḷī
โลห	Loha
โลหตา	Lohatā
โลหิต	Lohita
โลหิตก	Lohitaka
โลหิตงฺก	Lohitaṅka
ฬียติ	Ḷīyati
วฺ	V
ว	Va
วํส	Vaṃsa
วํสิก	Vaṃsika
วก	Vaka
วกุล	Vakula
วกฺก	Vakka
วกฺกงฺค	Vakkaṅga
วกฺกล	Vakkala
วกฺกลก	Vakkalaka
วกฺกลิ	Vakkali
วกฺกลิก	Vakkalika
วกฺขติ	Vakkhati
วคฺค	Vagga
วคฺคติ	Vaggati
วคฺคตฺต	Vaggatta
วคฺคน	Vaggana
วคฺคิย	Vaggiya
วคฺคุ	Vaggu
วคฺคุลิ	Vagguli
วงฺก	Vaṅka
วงฺกก	Vaṅkaka
วงฺกตา	Vaṅkatā
วงฺเกยฺย	Vaṅkeyya
วงฺค	Vaṅga
วงฺคติ	Vaṅgati
วจ	Vaca
วจตา	Vacatā
วจติ	Vacati
วจตฺถ	Vacattha
วจน	Vacana
วจนีย	Vacanīya
วจส	Vacasa
วจี	Vacī
วโจ	Vaco
วจฺจ	Vacca
วจฺจสินฺ	Vaccasin
วจฺจิต	Vaccita
วจฺฉ	Vaccha
วจฺฉก	Vacchaka
วจฺฉตร	Vacchatara
วจฺฉติ	Vacchati
วจฺฉร	Vacchara
วจฺฉล	Vacchala
วช	Vaja
วชติ	Vajati
วชลฺล	Vajalla
วชิร	Vajira
วชุฬ	Vajuḷa
วชฺช	Vajja
วชฺชติ	Vajjati
วชฺชน	Vajjana
วชฺชนีย	Vajjanīya
วชฺชวนฺตฺ	Vajjavant
วชฺฌ	Vajjha
วชฺฌก	Vajjhaka
วชฺฌา	Vajjhā
วชฺเฌติ	Vajjheti
วญฺจติ	Vañcati
วญฺจน	Vañcana
วญฺจนิก	Vañcanika
วญฺจนิย	Vañcaniya
วญฺจิต	Vañcita
วญฺชุล	Vañjula
วญฺฌ	Vañjha
วฏ	Vaṭa
วฏํส	Vaṭaṃsa
วฏก	Vaṭaka
วฏากร	Vaṭākara
วฏุม	Vaṭuma
วฏฺฏ	Vaṭṭa
วฏฺฏก	Vaṭṭaka
วฏฺฏกา	Vaṭṭakā
วฏฺฏติ	Vaṭṭati
วฏฺฏน	Vaṭṭana
วฏฺฏนา	Vaṭṭanā
วฏฺฏนิ	Vaṭṭani
วฏฺฏิ	Vaṭṭi
วฏฺฏิกา	Vaṭṭikā
วฏฺฏินฺ	Vaṭṭin
วฏฺฏุล	Vaṭṭula
วฏฺฐ	Vaṭṭha
วฐร	Vaṭhara
วฑฺฒ	Vaḍḍha
วฑฺฒก	Vaḍḍhaka
วฑฺฒกี	Vaḍḍhakī
วฑฺฒติ	Vaḍḍhati
วฑฺฒน	Vaḍḍhana
วฑฺฒนก	Vaḍḍhanaka
วฑฺฒมาน	Vaḍḍhamāna
วฑฺฒมานก	Vaḍḍhamānaka
วฑฺฒิ	Vaḍḍhi
วฑฺฒิก	Vaḍḍhika
วฑฺฒิต	Vaḍḍhita
วณ	Vaṇa
วณิ	Vaṇi
วณิชฺชา	Vaṇijjā
วณิต	Vaṇita
วณิปฺปตฺถ	Vaṇippattha
วณิพฺพก	Vaṇibbaka
วณิพฺพินฺ	Vaṇibbin
วณียติ	Vaṇīyati
วเณติ	Vaṇeti
วณฺฏ	Vaṇṭa
วณฺฏก	Vaṇṭaka
วณฺฏติ	Vaṇṭati
วณฺฏิก	Vaṇṭika
วณฺณ	Vaṇṇa
วณฺณก	Vaṇṇaka
วณฺณตา	Vaṇṇatā
วณฺณนา	Vaṇṇanā
วณฺณนีย	Vaṇṇanīya
วณฺณวนฺตฺ	Vaṇṇavant
วณฺณิต	Vaṇṇita
วณฺณินฺ	Vaṇṇin
วณฺณิย	Vaṇṇiya
วณฺณุ	Vaṇṇu
วณฺเณติ	Vaṇṇeti
วต	Vata
วตวนฺตฺ	Vatavant
วติ	Vati
วติก	Vatika
วติกา	Vatikā
วตฺต	Vatta
วตฺตก	Vattaka
วตฺตติ	Vattati
วตฺตน	Vattana
วตฺตนี	Vattanī̌
วตฺตมาน	Vattamāna
วตฺตมานก	Vattamānaka
วตฺตรฺ	Vattar
วตฺติ	Vatti
วตฺติก	Vattika
วตฺติต	Vattita
วตฺตินฺ	Vattin
วตฺถ	Vattha
วตฺถพฺพ	Vatthabba
วตฺถิ	Vatthi
วตฺถุ	Vatthu
วตฺถุก	Vatthuka
วท	Vada
วทญฺญุ	Vadaññu
วทญฺญุตา	Vadaññutā
วทติ	Vadati
วทน	Vadana
วทาน	Vadāna
วทานิย	Vadāniya
วทาปน	Vadāpana
วทฺทลิกา	Vaddalikā
วทฺธ	Vaddha
วทฺธก	Vaddhaka
วทฺธน	Vaddhana
วทฺธว	Vaddhava
วทฺธวฺย	Vaddhavya
วทฺธิ	Vaddhi
วทฺเธติ	Vaddheti
วธ	Vadha
วธก	Vadhaka
วธติ	Vadhati
วธิต	Vadhita
วธุกา	Vadhukā
วธู	Vadhū
วน	Vana
วนก	Vanaka
วนติ	Vanati
วนถ	Vanatha
วนายติ	Vanāyati
วนิก	Vanika
วนินฺ	Vanin
วนิพฺพก	Vanibbaka
วนิพฺพินฺ	Vanibbin
วนียติ	Vanīyati
วเนช	Vaneja
วนฺต	Vanta
วนฺทก	Vandaka
วนฺทติ	Vandati
วนฺทน	Vandana
วนฺทาปน	Vandāpana
วนฺทิต	Vandita
วนฺทิตรฺ	Vanditar
วปกสฺสติ	Vapakassati
